Timestamp,Vibration
2025-06-17T09:02:54.193607,0
2025-06-17T09:02:54.295209,0
2025-06-17T09:02:54.396565,0
2025-06-17T09:02:54.497406,1
2025-06-17T09:02:54.597977,1
2025-06-17T09:02:54.699324,0
2025-06-17T09:02:54.800433,0
2025-06-17T09:02:54.901494,0
2025-06-17T09:02:55.002073,0
2025-06-17T09:02:55.102718,0
2025-06-17T09:02:55.203466,0
2025-06-17T09:02:55.303984,0
2025-06-17T09:02:55.404872,0
2025-06-17T09:02:55.505785,0
2025-06-17T09:02:55.606687,0
2025-06-17T09:02:55.707586,1
2025-06-17T09:02:55.808664,0
2025-06-17T09:02:55.909527,0
2025-06-17T09:02:56.010595,1
2025-06-17T09:02:56.112010,0
2025-06-17T09:02:56.216371,0
2025-06-17T09:02:56.317718,0
2025-06-17T09:02:56.419566,0
2025-06-17T09:02:56.520697,1
2025-06-17T09:02:56.621999,0
2025-06-17T09:02:56.723373,0
2025-06-17T09:02:56.825066,0
2025-06-17T09:02:56.926026,0
2025-06-17T09:02:57.026844,1
2025-06-17T09:02:57.128223,1
2025-06-17T09:02:57.229854,0
2025-06-17T09:02:57.331344,0
2025-06-17T09:02:57.432532,0
2025-06-17T09:02:57.533705,0
2025-06-17T09:02:57.634705,0
2025-06-17T09:02:57.735487,0
2025-06-17T09:02:57.836377,0
2025-06-17T09:02:57.937369,0
2025-06-17T09:02:58.038985,1
2025-06-17T09:02:58.140500,0
2025-06-17T09:02:58.242092,0
2025-06-17T09:02:58.343354,0
